Model,Accuracy,Recall,Precision,F1,ROC-AUC,PR-AUC
Logistic Regression,0.78,0.72,0.36,0.48,0.81,0.41
Decision Tree,0.88,0.79,0.57,0.66,0.84,0.69
Random Forest,0.93,0.79,0.75,0.77,0.91,0.79
SVM,0.83,0.68,0.43,0.53,0.82,0.47
ANN,0.84,0.43,0.45,0.44,0.79,0.49
XGBoost,0.95,0.75,0.87,0.8,0.92,0.87
