Model,Accuracy,Recall,Precision,F1,ROC-AUC,PR-AUC
Logistic Regression,0.74,0.74,0.32,0.44,0.8,0.38
Decision Tree,0.76,0.82,0.35,0.49,0.78,0.6
Random Forest,0.86,0.86,0.51,0.64,0.92,0.81
SVM,0.77,0.81,0.36,0.5,0.84,0.5
ANN,0.7,0.71,0.28,0.4,0.79,0.4
XGBoost,0.87,0.86,0.53,0.66,0.92,0.8
