Model,Accuracy,Recall,Precision,F1,ROC-AUC,PR-AUC
Logistic Regression,0.68,0.84,0.29,0.43,0.8,0.4
Decision Tree,0.81,0.67,0.4,0.5,0.75,0.56
Random Forest,0.87,0.83,0.52,0.64,0.89,0.68
SVM,0.73,0.73,0.31,0.44,0.79,0.44
ANN,0.77,0.65,0.34,0.45,0.78,0.45
XGBoost,0.9,0.83,0.62,0.71,0.92,0.84
