Model,Feature,Importance
Decision Tree,State_AR,0.0
Decision Tree,State_ID,0.0
Decision Tree,State_KY,0.0
Decision Tree,State_HI,0.0
Decision Tree,State_NV,0.0
Decision Tree,State_OR,0.0
Decision Tree,State_TN,0.0
Decision Tree,State_SD,0.0
Decision Tree,State_RI,0.0
Decision Tree,State_WI,0.0
Random Forest,Customer service calls,0.14457028827811913
Random Forest,International plan,0.12674215796381222
Random Forest,Total day minutes,0.09313656547762024
Random Forest,Total day charge,0.08223947604241343
Random Forest,Voice mail plan,0.05240464140142843
Random Forest,Area code,0.045640632170237276
Random Forest,Total intl calls,0.04409119709467246
Random Forest,Total eve minutes,0.03911669350216587
Random Forest,Total eve charge,0.03898758290000055
Random Forest,Number vmail messages,0.03267846583357271
Random Forest,Total intl minutes,0.030760890720920496
Random Forest,Total intl charge,0.03057950964584542
Random Forest,Total night minutes,0.030574648625759423
Random Forest,Total night charge,0.0297585710248736
Random Forest,Account length,0.025620850800118382
Random Forest,Total eve calls,0.02547230151755356
Random Forest,Total night calls,0.025231566760854994
Random Forest,Total day calls,0.023245246716662723
Random Forest,State_ME,0.004977533913411515
Random Forest,State_MS,0.004806995039037123
Random Forest,State_TX,0.0034924915855549543
Random Forest,State_MI,0.002798221180786504
Random Forest,State_OH,0.0026053337864709735
Random Forest,State_SC,0.0024470215186470144
Random Forest,State_VA,0.002352670336934366
Random Forest,State_DC,0.0020687337178599686
Random Forest,State_NJ,0.0020339821662917067
Random Forest,State_CA,0.0020293511479654485
Random Forest,State_NY,0.002024801965391298
Random Forest,State_MT,0.0019887777005020016
Random Forest,State_ND,0.0017569040914070673
Random Forest,State_NE,0.001707909828427815
Random Forest,State_CT,0.0016663645796647995
Random Forest,State_IN,0.0016035324673762963
Random Forest,State_RI,0.0015338436912473948
Random Forest,State_NH,0.0015272226692556365
Random Forest,State_OK,0.0015176662300949448
Random Forest,State_NC,0.0015065643209519596
Random Forest,State_IL,0.0014746217949752366
Random Forest,State_UT,0.001472303079914923
Random Forest,State_CO,0.0014405501169412543
Random Forest,State_WV,0.0014401697837808283
